Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,AgeofCar,Brand
2013,13452,Diesel,Automatic,First,12.8,1968.0,167.6,5.0,30418.16,11,Audi
2017,37688,Petrol,Manual,First,17.01,1591.0,121.3,5.0,9414.58,7,Hyundai
2017,34000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,43010.75,7,Mercedes-Benz
2014,120000,Diesel,Automatic,First,18.342252479408305,2987.0,165.0,5.0,35842.29,10,Mercedes-Benz
2008,64000,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,3405.02,16,Maruti
2011,100000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,4181.6,13,Honda
2014,75000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,8960.57,10,Renault
2012,86000,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,22700.12,12,Mercedes-Benz
2015,69000,Diesel,Automatic,First,15.97,2993.0,258.0,5.0,64516.13,9,BMW
2015,41721,Petrol,Manual,First,19.1,1197.0,82.0,5.0,5615.29,9,Hyundai
2017,13000,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,10155.32,7,Maruti
2013,38998,Diesel,Automatic,First,16.07,1995.0,181.0,4.0,20310.63,11,BMW
2017,54250,Petrol,Manual,First,22.74,796.0,47.3,5.0,4193.55,7,Maruti
2013,45979,Diesel,Automatic,Second,17.11,1968.0,174.33,5.0,23297.49,11,Audi
2012,37000,Petrol,Automatic,Second,13.6,1598.0,181.0,4.0,20310.63,12,Mini Cooper
2015,46983,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,51792.11,9,Audi
2012,40700,Diesel,Manual,First,25.44,936.0,57.6,5.0,3166.07,12,Chevrolet
2015,43828,Petrol,Manual,First,20.51,998.0,67.04,5.0,4205.5,9,Maruti
2016,53000,Diesel,Manual,First,19.01,1461.0,108.5,5.0,7467.14,8,Nissan
2015,100000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,29569.89,9,BMW
2015,19000,Petrol,Manual,First,20.85,1197.0,83.14,5.0,6272.4,9,Maruti
2016,84000,Diesel,Manual,First,17.72,1968.0,108.5,5.0,13142.17,8,Skoda
2018,37630,Petrol,Automatic,First,15.63,1499.0,110.4,5.0,10872.16,6,Ford
2010,67714,Petrol,Manual,First,18.5,1197.0,80.0,5.0,3882.92,14,Hyundai
2017,32000,Diesel,Manual,First,15.0,1248.0,88.5,5.0,10155.32,7,Maruti
2010,51000,Petrol,Manual,First,16.2,1599.0,103.2,5.0,3703.7,14,Hyundai
2015,58390,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,23727.6,9,BMW
2017,14000,Diesel,Manual,First,24.0,1186.0,73.97,5.0,5854.24,7,Hyundai
2014,55818,Petrol,Manual,Second,17.4,1497.0,117.3,5.0,6810.04,10,Honda
2006,97800,Petrol,Manual,Third,16.1,1621.5059354622972,113.27220292815797,5.0,2090.8,18,Maruti
2012,52241,Diesel,Manual,First,25.2,1248.0,74.0,5.0,3464.76,12,Maruti
2018,25433,Diesel,Manual,First,27.39,1248.0,74.0,5.0,9354.84,6,Maruti
2015,40611,Diesel,Manual,First,14.0,2179.0,138.1,7.0,9737.16,9,Tata
2008,72000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,2389.49,16,Hyundai
2016,54631,Diesel,Manual,First,25.2,1248.0,74.0,5.0,7467.14,8,Maruti
2007,60000,Diesel,Manual,Second,17.8,1248.0,113.27220292815797,5.0,4062.13,17,Maruti
2016,24941,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3811.23,8,Tata
2017,63939,Diesel,Manual,First,25.47,1248.0,88.5,7.0,9259.26,7,Maruti
2014,35214,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,3823.18,10,Maruti
2015,63000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5854.24,9,Maruti
2012,121377,Petrol,Manual,First,15.04,1598.0,103.6,5.0,4540.02,12,Volkswagen
2009,100970,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,4778.97,15,Volkswagen
2014,60000,Diesel,Automatic,Second,20.7,1496.0,113.98,5.0,28076.46,10,Mini Cooper
2008,77650,Diesel,Manual,First,17.2,1396.0,53.5,5.0,1373.95,16,Tata
2007,71297,Petrol,Manual,First,17.0,1086.0,113.27220292815797,5.0,2628.43,17,Hyundai
2008,55001,Diesel,Automatic,Second,18.342252479408305,1621.5059354622972,113.27220292815797,5.0,31660.69,16,Land Rover
2015,18955,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,12724.01,9,Honda
2016,47877,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,42628.43,8,Jaguar
2017,43368,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,38160.1,7,Mercedes-Benz
2011,73000,Diesel,Manual,Third,18.3,1991.0,147.9,5.0,5017.92,13,Chevrolet
2015,72007,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11827.96,9,Mahindra
2014,56778,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,18470.73,10,Mercedes-Benz
2018,20024,Petrol,Manual,First,18.2,1199.0,88.7,5.0,10107.53,6,Honda
2013,42103,Petrol,Manual,First,16.78,1496.0,88.73,5.0,3882.92,11,Toyota
2012,67147,Petrol,Manual,First,19.7,796.0,46.3,5.0,3106.33,12,Maruti
2016,37806,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6212.66,8,Maruti
2009,85000,Petrol,Manual,Third,19.0,998.0,66.1,5.0,2150.54,15,Maruti
2011,35000,Petrol,Manual,First,25.4,624.0,37.48,4.0,1911.59,13,Tata
2015,72035,Diesel,Manual,First,25.5,1498.0,99.0,5.0,2986.86,9,Ford
2011,48500,Petrol,Manual,First,16.0,1368.0,90.0,5.0,2986.86,13,Fiat
2017,28854,Petrol,Manual,First,18.16,1196.0,86.8,5.0,8004.78,7,Ford
2005,92450,Petrol,Manual,First,15.4,1590.0,94.0,5.0,1433.69,19,Maruti
2016,14351,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,42473.12,8,BMW
2017,51087,Diesel,Manual,First,17.9,1998.0,163.7,5.0,9259.26,7,Chevrolet
2005,50000,Diesel,Manual,First,12.7,2609.0,116.6,8.0,2317.8,19,Mahindra
2016,73000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2628.43,8,Tata
2011,60000,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,4540.02,13,Chevrolet
2016,50000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,18697.73,8,Toyota
2018,36797,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,47156.51,6,Mercedes-Benz
2011,50000,Petrol,Manual,Second,18.5,1197.0,85.8,5.0,1792.11,13,Maruti
2013,94000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,10573.48,11,Toyota
2013,74000,Diesel,Manual,Second,12.55,2982.0,168.5,7.0,21385.9,11,Toyota
2014,41016,Petrol,Automatic,Second,16.95,1197.0,78.9,5.0,6069.3,10,Hyundai
2012,67000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,7467.14,12,Hyundai
2015,76927,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,27180.41,9,Audi
2010,17088,Petrol,Manual,First,18.6,1199.0,79.4,5.0,1744.32,14,Chevrolet
2007,112808,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,2449.22,17,Ford
2014,74980,Diesel,Manual,First,20.0,1399.0,68.0,5.0,4874.55,10,Ford
2014,44600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,5436.08,10,Maruti
2013,37000,Diesel,Automatic,First,20.0,2143.0,107.3,5.0,16726.4,11,Mercedes-Benz
2016,21000,Petrol,Manual,First,15.8,1591.0,121.3,5.0,13022.7,8,Hyundai
2010,81245,Petrol,Manual,First,18.9,998.0,67.1,5.0,2927.12,14,Maruti
2013,70000,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,18876.94,11,Mercedes-Benz
2017,4018,Petrol,Manual,First,18.88,1499.0,110.4,5.0,9856.63,7,Ford
2013,70000,Diesel,Automatic,Second,13.73,1995.0,148.0,5.0,10155.32,11,Renault
2016,56532,Diesel,Manual,First,16.0,2179.0,140.0,7.0,18566.31,8,Mahindra
2013,26875,Petrol,Manual,First,16.8,796.0,34.2,8.0,2807.65,11,Maruti
2015,72599,Petrol,Manual,First,22.5,998.0,67.04,5.0,5161.29,9,Maruti
2008,205000,Diesel,Manual,Second,13.1,2499.0,141.0,7.0,4659.5,16,Ford
2011,98000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,6212.66,13,Hyundai
2018,19500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6989.25,6,Hyundai
2013,68000,Petrol,Manual,Second,16.02,1373.0,93.7,7.0,7467.14,11,Maruti
2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,21063.32,5,Mahindra
2017,26000,Diesel,Manual,First,23.65,1248.0,88.5,5.0,11648.75,7,Maruti
2015,10000,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,65710.87,9,Mercedes-Benz
2011,75020,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4898.45,13,Volkswagen
2011,157000,Diesel,Manual,First,12.55,2982.0,168.5,7.0,14324.97,13,Toyota
2017,43773,Diesel,Manual,First,16.0,2179.0,140.0,7.0,16176.82,7,Mahindra
2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,66905.62,8,Mercedes-Benz
2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7765.83,8,Honda
2013,88000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,5675.03,11,Maruti
2014,67000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,6690.56,10,Hyundai
2017,59636,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,34886.5,7,Ford
2018,11000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7586.62,6,Hyundai
2013,60669,Petrol,Manual,First,16.8,1497.0,116.3,5.0,5913.98,11,Honda
2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,10155.32,6,Honda
2013,35000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,5376.34,11,Hyundai
2015,65000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,6571.09,9,Honda
2013,39929,Diesel,Manual,First,20.77,1248.0,88.8,7.0,7837.51,11,Maruti
2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,2747.91,10,Maruti
2004,77757,Diesel,Manual,Second,13.1,2446.0,75.0,10.0,4181.6,20,Toyota
2016,21456,Petrol,Manual,First,20.36,1197.0,78.9,5.0,5436.08,8,Hyundai
2009,74000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,9259.26,15,Skoda
2015,37000,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,6272.4,9,Hyundai
2013,108640,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,27825.57,11,BMW
2016,38000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,28661.89,8,BMW
2010,80000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,2138.59,14,Chevrolet
2011,47000,Diesel,Automatic,Second,14.21,2143.0,203.0,5.0,16606.93,13,Mercedes-Benz
2013,31000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22640.38,11,Audi
2014,40000,Petrol,Manual,First,20.51,998.0,67.04,5.0,2974.91,10,Maruti
2016,4152,Petrol,Manual,First,25.17,799.0,53.3,5.0,3763.44,8,Renault
2017,51000,Diesel,Manual,First,21.66,1498.0,108.62,5.0,7706.09,7,Volkswagen
2013,55000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5077.66,11,Volkswagen
2014,58500,Petrol,Manual,First,22.74,796.0,47.3,5.0,3285.54,10,Maruti
2017,58620,Petrol,Manual,First,18.6,1197.0,81.83,5.0,8530.47,7,Hyundai
2012,29605,Petrol,Manual,First,18.3,1197.0,113.27220292815797,5.0,2915.17,12,Toyota
2012,71172,Petrol,Manual,Third,17.0,1197.0,80.0,5.0,4181.6,12,Hyundai
2017,12000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8721.62,7,Hyundai
2014,25000,Petrol,Manual,First,20.51,998.0,67.04,5.0,3285.54,10,Maruti
2017,43000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,9796.89,7,Hyundai
2015,57022,Petrol,Automatic,First,17.21,1197.0,103.6,5.0,7777.78,9,Volkswagen
2015,92000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,5077.66,9,Ford
2014,33372,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,7419.35,10,Maruti
2016,52625,Diesel,Manual,First,24.0,1120.0,70.0,5.0,5471.92,8,Hyundai
2016,215000,Diesel,Manual,First,14.02,2179.0,118.3,7.0,8960.57,8,Mahindra
2012,65537,CNG,Manual,First,26.83,796.0,38.4,5.0,2508.96,12,Maruti
2014,60138,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4886.5,10,Hyundai
2014,84000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,12843.49,10,Skoda
2014,47000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,49581.84,10,BMW
2014,33450,Petrol,Automatic,First,23.1,998.0,67.04,5.0,5256.87,10,Maruti
2013,125000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,7467.14,11,Volkswagen
2011,99606,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,12544.8,13,BMW
2014,64000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,8661.89,10,Maruti
2013,51000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,3823.18,11,Ford
2014,57000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,4719.24,10,Volkswagen
2009,48040,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,14420.55,15,Audi
2017,43200,Diesel,Manual,First,13.68,2393.0,147.8,7.0,22222.22,7,Toyota
2013,66000,Diesel,Automatic,First,22.32,1582.0,126.3,5.0,6810.04,11,Hyundai
2013,31000,Petrol,Manual,First,17.92,1086.0,62.1,5.0,2090.8,11,Hyundai
2011,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,13130.23,13,Audi
2012,47346,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,17323.78,12,Audi
2009,100000,Diesel,Manual,First,17.0,1896.0,105.0,5.0,3715.65,15,Skoda
2015,63856,Petrol,Automatic,First,13.7,1997.0,153.86,5.0,16678.61,9,Honda
2015,72996,Diesel,Manual,First,22.32,1582.0,126.32,5.0,8494.62,9,Hyundai
2014,23000,Diesel,Manual,First,24.5,1498.0,98.6,7.0,8243.73,10,Honda
2018,15985,Petrol,Manual,First,18.6,1197.0,81.83,5.0,9283.15,6,Hyundai
2011,98000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,6571.09,13,Toyota
2014,70089,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6391.88,10,Hyundai
2011,99000,Diesel,Manual,Second,13.6,2523.0,63.0,7.0,5376.34,13,Mahindra
2014,72000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,5675.03,10,Volkswagen
2015,44194,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,39187.57,9,Jaguar
2005,102000,Petrol,Manual,First,17.3,993.0,60.0,5.0,836.32,19,Maruti
2018,56652,Diesel,Automatic,First,13.0,2987.0,258.0,5.0,60083.63,6,Mercedes-Benz
2010,41650,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,13130.23,14,Toyota
2015,61717,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,6654.72,9,Hyundai
2018,25302,Diesel,Manual,First,25.4,1186.0,73.97,5.0,7048.98,6,Hyundai
2016,47016,Petrol,Manual,First,15.29,1591.0,121.3,5.0,11266.43,8,Hyundai
2010,69000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3464.76,14,Hyundai
2016,32700,Petrol,Manual,First,19.4,1198.0,86.8,5.0,4396.65,8,Honda
2015,101337,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,25890.08,9,Toyota
2011,59000,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,14934.29,13,Audi
2018,41736,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,23799.28,6,Toyota
2014,71649,Diesel,Manual,First,25.1,1498.0,98.6,5.0,8064.52,10,Honda
2015,80606,Diesel,Manual,First,25.1,1498.0,98.6,5.0,8315.41,9,Honda
2017,63262,Petrol,Manual,First,21.7,999.0,67.0,5.0,3882.92,7,Renault
2018,5456,Diesel,Manual,First,28.4,1248.0,74.0,5.0,10334.53,6,Maruti
2017,7500,Petrol,Automatic,First,23.1,998.0,67.04,5.0,5973.72,7,Maruti
2011,66000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,6571.09,13,Mahindra
2010,66770,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,3106.33,14,Hyundai
2014,58472,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4074.07,10,Hyundai
2011,46687,Petrol,Manual,First,22.0,1197.0,81.8,5.0,3225.81,13,Maruti
2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995.0,163.5,5.0,6571.09,16,Maruti
2012,7000,Petrol,Automatic,First,14.33,1984.0,226.6,4.0,41816.01,12,Audi
2011,48000,Petrol,Automatic,Second,14.74,1991.0,184.0,5.0,11648.75,13,Mercedes-Benz
2013,47000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,5077.66,11,Nissan
2015,51530,Petrol,Manual,First,18.9,998.0,67.1,5.0,3823.18,9,Maruti
2014,25789,Diesel,Manual,Second,23.4,1248.0,74.0,5.0,8183.99,10,Maruti
2015,48000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5376.34,9,Honda
2012,52000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,4241.34,12,Maruti
2010,95637,CNG,Manual,Second,13.2,1495.0,93.7,5.0,2270.01,14,Hyundai
2008,131000,Diesel,Manual,First,10.5,2609.0,120.0,7.0,4301.08,16,Mahindra
2015,42076,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,26045.4,9,Mercedes-Benz
2012,76000,Diesel,Manual,Second,13.0,2982.0,168.5,7.0,16129.03,12,Toyota
2016,20487,Petrol,Manual,First,22.7,799.0,53.64,5.0,3178.02,8,Datsun
2010,43000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,4480.29,14,Honda
2018,17000,Petrol,Automatic,First,19.16,2494.0,158.2,5.0,38231.78,6,Toyota
2016,60805,Diesel,Manual,First,26.0,1498.0,98.6,5.0,9641.58,8,Honda
2012,58775,Diesel,Manual,First,19.33,1968.0,138.1,5.0,6738.35,12,Volkswagen
2013,70181,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,28661.89,11,Audi
2016,85827,Diesel,Manual,First,20.77,1248.0,88.76,7.0,8960.57,8,Maruti
2016,58205,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,32258.06,8,Mercedes-Benz
2008,91000,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,3405.02,16,Maruti
2012,74000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7586.62,12,Renault
2010,79324,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3942.65,14,Maruti
2013,38623,Petrol,Manual,First,19.1,1197.0,85.8,5.0,5973.72,11,Maruti
2014,59923,Diesel,Manual,First,22.9,1248.0,74.0,5.0,7718.04,10,Maruti
2017,23360,Petrol,Manual,First,21.1,814.0,55.2,5.0,4480.29,7,Hyundai
2003,61495,Petrol,Manual,Third,17.3,993.0,60.0,5.0,1816.01,21,Maruti
2012,56661,Petrol,Manual,First,15.1,1196.0,73.0,7.0,4313.02,12,Maruti
2017,40318,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,52258.06,7,Audi
2014,60000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,23894.86,10,Audi
2008,103000,Diesel,Automatic,Second,18.342252479408305,799.0,113.27220292815797,2.0,3584.23,16,Smart
2010,130000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,4360.81,14,Maruti
2013,20000,Diesel,Manual,First,14.07,1978.0,83.1,10.0,6272.4,11,Tata
2016,76000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,69295.1,8,BMW
2015,30000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,10334.53,9,Honda
2015,150000,Diesel,Manual,First,25.0,1396.0,69.01,5.0,2986.86,9,Tata
2014,28000,Petrol,Automatic,First,16.93,1197.0,103.6,5.0,9259.26,10,Volkswagen
2015,74000,Petrol,Manual,First,23.1,998.0,67.04,5.0,4958.18,9,Maruti
2011,75000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,12962.96,13,Toyota
2010,76000,Petrol,Automatic,Second,11.3,2360.0,170.0,5.0,6606.93,14,Mitsubishi
2014,64889,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,13739.55,10,Volkswagen
2010,10000,Petrol,Manual,First,9.0,3436.0,113.27220292815797,2.0,47789.73,14,Porsche
2015,43000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,11051.37,9,Hyundai
2011,47490,Petrol,Manual,First,17.5,1198.0,75.0,5.0,2735.96,13,Skoda
2015,80000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,8363.2,9,Ford
2007,60000,Petrol,Manual,Second,18.2,1061.0,64.0,5.0,1971.33,17,Maruti
2017,6006,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9856.63,7,Maruti
2011,71703,Petrol,Automatic,First,14.74,1991.0,181.03,5.0,10919.95,13,Mercedes-Benz
2016,33000,Petrol,Manual,First,17.8,1198.0,86.7,5.0,7765.83,8,Honda
2012,60000,Diesel,Manual,First,23.59,1364.0,113.27220292815797,5.0,3524.49,12,Toyota
2015,91000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,6869.77,9,Renault
2012,72000,LPG,Manual,First,26.2,998.0,58.2,5.0,3405.02,12,Maruti
2011,43000,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,2508.96,13,Volkswagen
2017,63770,Diesel,Manual,First,19.67,1582.0,126.2,5.0,16188.77,7,Hyundai
2012,43510,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,24492.23,12,Jaguar
2017,52000,Diesel,Manual,First,16.3,1956.0,170.0,5.0,23894.86,7,Jeep
2018,31427,Diesel,Automatic,First,15.68,1999.0,177.0,5.0,71350.06,6,Land Rover
2016,29000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,7765.83,8,Maruti
2016,56000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8960.57,8,Maruti
2007,76000,Petrol,Manual,Second,15.0,1586.0,104.68,5.0,2568.7,17,Maruti
2015,53615,Diesel,Manual,First,22.7,1582.0,126.24,5.0,10083.63,9,Hyundai
2013,132000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,14922.34,11,Mitsubishi
2017,14800,Petrol,Manual,First,17.0,1198.0,73.75,5.0,6547.19,7,Volkswagen
2013,35433,Petrol,Manual,First,18.5,1197.0,85.8,5.0,5017.92,11,Maruti
2013,82966,Diesel,Manual,First,16.8,1493.0,110.0,5.0,8602.15,11,Hyundai
2014,96000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,5734.77,10,Maruti
2017,39528,Diesel,Manual,First,25.32,1198.0,77.0,6.0,6965.35,7,Mahindra
2018,92056,Diesel,Manual,First,13.68,2393.0,147.8,7.0,21971.33,6,Toyota
2016,14930,Petrol,Manual,First,21.4,1197.0,83.1,5.0,6989.25,8,Maruti
2016,38000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,7419.35,8,Honda
2013,71000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,4360.81,11,Hyundai
2012,71000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,4420.55,12,Hyundai
2015,50000,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,35842.29,9,Mercedes-Benz
2016,48163,Petrol,Manual,First,19.1,1197.0,82.0,5.0,5794.5,8,Hyundai
2017,19168,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,8279.57,7,Hyundai
2016,26000,Petrol,Manual,First,22.74,796.0,47.3,5.0,3106.33,8,Maruti
2014,37400,Petrol,Manual,First,18.2,1199.0,82.5,5.0,2258.06,10,Chevrolet
2018,8682,Diesel,Automatic,First,18.342252479408305,1950.0,194.0,5.0,47192.35,6,Mercedes-Benz
2012,95000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,11947.43,12,Skoda
2009,34000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,11887.69,15,Audi
2014,95000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,11290.32,10,Toyota
2017,13689,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,33751.49,7,Mercedes-Benz
2008,84000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2150.54,16,Hyundai
2008,47000,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,1672.64,16,Maruti
2015,60001,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,8661.89,9,Skoda
2012,96000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,4301.08,12,Maruti
2004,47300,Petrol,Manual,Second,14.4,1599.0,94.0,5.0,1433.69,20,Hyundai
2014,28246,Petrol,Manual,Second,17.8,1198.0,86.7,5.0,5902.03,10,Honda
2007,65000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1493.43,17,Maruti
2013,68000,Diesel,Manual,Second,22.07,1199.0,73.9,5.0,5734.77,11,Volkswagen
2019,11209,Diesel,Automatic,First,12.62,2198.0,158.0,7.0,37216.25,5,Ford
2011,41980,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,3942.65,13,Hyundai
2012,65000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2867.38,12,Chevrolet
2010,38000,Petrol,Manual,First,14.8,1799.0,130.2,5.0,2389.49,14,Honda
2014,51000,Petrol,Manual,First,20.51,998.0,67.04,5.0,3703.7,10,Maruti
2014,33855,Petrol,Manual,First,15.0,1598.0,103.6,5.0,6081.24,10,Skoda
2006,146000,Petrol,Manual,Second,15.4,1590.0,94.0,5.0,1254.48,18,Maruti
2015,47037,Diesel,Manual,Second,22.77,1498.0,98.59,5.0,8363.2,9,Ford
2010,58000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,2986.86,14,Hyundai
2012,61240,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,20908.0,12,BMW
2011,91211,Petrol,Manual,First,20.92,998.0,67.1,5.0,2508.96,13,Maruti
2013,84000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,21206.69,11,Audi
2008,64226,LPG,Manual,First,17.3,1061.0,57.5,5.0,1732.38,16,Maruti
2005,67000,Petrol,Automatic,Second,11.3,1794.0,125.0,5.0,2927.12,19,Toyota
2011,106976,Diesel,Automatic,First,13.5,2400.0,215.0,5.0,16487.46,13,Volvo
2016,27210,Diesel,Manual,First,27.3,1498.0,98.6,5.0,6989.25,8,Honda
2017,26322,Diesel,Manual,First,28.09,1248.0,88.5,5.0,10633.21,7,Maruti
2016,9107,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6152.93,8,Maruti
2015,63983,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,19784.95,9,Mercedes-Benz
2010,134000,Petrol,Manual,Second,18.9,1061.0,67.0,5.0,1971.33,14,Maruti
2015,11000,Petrol,Automatic,First,15.5,1595.0,120.7,5.0,19115.89,9,Mercedes-Benz
2008,93000,Petrol,Manual,First,18.342252479408305,1086.0,62.0,5.0,1732.38,16,Hyundai
2017,24852,Diesel,Automatic,First,26.59,1248.0,74.0,5.0,9653.52,7,Maruti
2014,37632,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,5376.34,10,Hyundai
